Company: ,Alphabet Inc. Class C Capital Stock
Date,Open,High,Low,Close,Prediction,Earning
2020-10-19,1580.459961,1588.150024,1528.000000,1534.609985,N/A	,0.000000
2020-10-20,1527.050049,1577.500000,1525.670044,1555.930054,N/A	,0.000000
2020-10-21,1573.329956,1618.729980,1571.630005,1593.310059,N/A	,0.000000
2020-10-22,1593.050049,1621.989990,1585.000000,1615.329956,N/A	,0.000000
2020-10-23,1626.069946,1642.359985,1620.510010,1641.000000,N/A	,0.000000
2020-10-26,1625.010010,1638.239990,1576.500000,1590.449951,N/A	,0.000000
2020-10-27,1595.670044,1606.844971,1582.780029,1604.260010,N/A	,0.000000
2020-10-28,1559.739990,1561.349976,1514.619995,1516.619995,N/A	,0.000000
2020-10-29,1522.359985,1593.709961,1522.239990,1567.239990,N/A	,0.000000
2020-10-30,1672.109985,1687.000000,1604.459961,1621.010010,N/A	,0.000000
2020-11-02,1628.160034,1660.770020,1616.030029,1626.030029,N/A	,0.000000
2020-11-03,1631.780029,1661.699951,1616.619995,1650.209961,N/A	,0.000000
2020-11-04,1710.280029,1771.364990,1706.030029,1749.130005,N/A	,0.000000
2020-11-05,1781.000000,1793.640015,1750.510010,1763.369995,N/A	,0.000000
2020-11-06,1753.949951,1772.430054,1740.349976,1761.750000,N/A	,0.000000
2020-11-09,1790.900024,1818.060059,1760.020020,1763.000000,N/A	,0.000000
2020-11-10,1731.089966,1763.000000,1717.300049,1740.390015,N/A	,0.000000
2020-11-11,1750.000000,1764.219971,1747.364990,1752.709961,N/A	,0.000000
2020-11-12,1747.630005,1768.270020,1745.599976,1749.839966,N/A	,0.000000
2020-11-13,1757.630005,1781.040039,1744.550049,1777.020020,N/A	,0.000000
2020-11-16,1771.699951,1799.069946,1767.689941,1781.380005,N/A	,0.000000
2020-11-17,1776.939941,1785.000000,1767.000000,1770.150024,N/A	,0.000000
2020-11-18,1765.229980,1773.469971,1746.140015,1746.780029,N/A	,0.000000
2020-11-19,1738.380005,1769.589966,1737.005005,1763.920044,N/A	,0.000000
2020-11-20,1765.209961,1774.000000,1741.859985,1742.189941,N/A	,0.000000
2020-11-23,1749.599976,1753.900024,1717.719971,1734.859985,N/A	,0.000000
2020-11-24,1730.500000,1771.599976,1727.689941,1768.880005,N/A	,0.000000
2020-11-25,1772.890015,1778.540039,1756.540039,1771.430054,N/A	,0.000000
2020-11-27,1773.089966,1804.000000,1772.439941,1793.189941,N/A	,0.000000
2020-11-30,1781.183960,1788.064941,1755.000000,1760.739990,N/A	,0.000000
2020-12-01,1774.369995,1824.829956,1769.369995,1798.099976,N/A	,0.000000
2020-12-02,1798.099976,1835.650024,1789.473022,1827.949951,N/A	,0.000000
2020-12-03,1824.010010,1847.199951,1822.650024,1826.770020,N/A	,0.000000
2020-12-04,1824.520020,1833.160034,1816.989990,1827.989990,N/A	,0.000000
2020-12-07,1819.000000,1832.369995,1805.780029,1819.479980,N/A	,0.000000
2020-12-08,1810.099976,1821.900024,1796.204956,1818.550049,N/A	,0.000000
2020-12-09,1812.010010,1834.270020,1767.810059,1784.130005,N/A	,0.000000
2020-12-10,1769.800049,1781.310059,1740.319946,1775.329956,N/A	,0.000000
2020-12-11,1763.060059,1784.449951,1760.000000,1781.770020,N/A	,0.000000
2020-12-14,1775.000000,1797.390015,1757.214966,1760.060059,N/A	,0.000000
2020-12-15,1764.420044,1771.420044,1749.949951,1767.770020,N/A	,0.000000
2020-12-16,1772.880005,1773.000000,1756.079956,1763.000000,N/A	,0.000000
2020-12-17,1768.510010,1771.784058,1738.660034,1747.900024,N/A	,0.000000
2020-12-18,1754.180054,1755.109985,1720.219971,1731.010010,N/A	,0.000000
2020-12-21,1713.510010,1740.849976,1699.000000,1739.369995,N/A	,0.000000
2020-12-22,1734.430054,1737.405029,1712.574951,1723.500000,N/A	,0.000000
2020-12-23,1728.109985,1747.989990,1725.040039,1732.380005,N/A	,0.000000
2020-12-24,1735.000000,1746.000000,1729.109985,1738.849976,N/A	,0.000000
2020-12-28,1751.635010,1790.728027,1746.334961,1776.089966,N/A	,0.000000
2020-12-29,1787.790039,1792.439941,1756.089966,1758.719971,N/A	,0.000000
2020-12-30,1762.010010,1765.094971,1725.599976,1739.520020,N/A	,0.000000
2020-12-31,1735.420044,1758.930054,1735.420044,1751.880005,N/A	,0.000000
2021-01-04,1757.540039,1760.650024,1707.849976,1728.239990,N/A	,0.000000
2021-01-05,1725.000000,1747.670044,1718.015015,1740.920044,N/A	,0.000000
2021-01-06,1702.630005,1748.000000,1699.000000,1735.290039,N/A	,0.000000
2021-01-07,1740.060059,1788.400024,1737.050049,1787.250000,N/A	,0.000000
2021-01-08,1787.979980,1809.839966,1773.535034,1807.209961,N/A	,0.000000
2021-01-11,1786.069946,1794.314941,1760.520020,1766.719971,N/A	,0.000000
2021-01-12,1753.920044,1778.040039,1725.310059,1746.550049,N/A	,0.000000
2021-01-13,1738.579956,1765.035034,1738.010010,1754.400024,N/A	,0.000000
2021-01-14,1753.619995,1775.010010,1733.400024,1740.180054,N/A	,0.000000
2021-01-15,1738.189941,1756.000000,1721.550049,1736.189941,N/A	,0.000000
2021-01-19,1752.250000,1809.275024,1741.459961,1790.859985,N/A	,0.000000
2021-01-20,1831.459961,1903.709961,1825.530029,1886.900024,N/A	,0.000000
2021-01-21,1898.000000,1934.859985,1887.109985,1891.250000,N/A	,0.000000
2021-01-22,1895.680054,1910.949951,1881.760010,1901.050049,N/A	,0.000000
2021-01-25,1920.670044,1929.579956,1867.530029,1899.400024,N/A	,0.000000
2021-01-26,1888.839966,1925.000000,1884.244995,1917.239990,N/A	,0.000000
